Raman Shift,Rover_Sol_001,Rover_Sol_002,Rover_Sol_003,Rover_Sol_004,Rover_Sol_005,Rover_Sol_006,Rover_Sol_007,Rover_Sol_008,Rover_Sol_009,Rover_Sol_010
202.5,7893.19,8518.8,16517.74,12982.77,4479.82,27128.53,21540.57,14981.93,577.09,651.96
205.0,8069.86,8301.12,17039.08,15110.16,5191.52,29599.82,22105.4,15528.57,1194.55,460.47
207.5,7164.0,9178.52,17694.21,15979.32,5679.25,32744.16,22667.95,17386.56,1483.38,290.95
210.0,6404.98,7878.54,17961.19,16794.2,6201.21,34222.33,21450.4,18477.56,2342.59,687.24
212.5,5406.02,8683.5,17524.89,17525.31,6519.58,34741.41,19994.02,19851.62,3392.48,373.98
215.0,4466.86,8548.97,17570.86,17147.3,7210.25,34587.31,18787.0,21296.13,4458.35,328.76
217.5,4010.92,7617.92,17120.08,15945.66,7796.09,35003.65,16245.38,22364.3,5513.26,367.08
220.0,3027.79,8399.51,16556.18,15153.19,8624.02,33468.01,13959.48,23459.59,6463.06,235.98
222.5,2877.87,7765.77,15640.02,14445.02,9550.27,31889.2,10955.05,23887.36,6951.12,360.27
225.0,3338.82,7538.04,14112.51,14321.86,9947.42,30033.31,8608.74,24887.74,7040.55,397.14
227.5,3048.35,7034.4,12377.34,13405.42,10157.12,28516.22,7494.58,24427.86,6200.62,549.2
230.0,3746.1,6794.71,10783.72,13710.64,9652.03,26255.15,5004.79,24205.36,5300.74,373.48
232.5,3774.62,6681.79,9272.69,13886.39,9078.77,24426.18,5037.74,23950.44,4352.94,235.44
235.0,4626.3,6810.95,7548.91,13807.33,8645.29,22743.72,4586.79,23791.53,3077.44,182.87
237.5,5149.31,7123.39,6396.83,14465.97,8209.89,20325.9,4428.81,22622.22,2110.68,468.66
240.0,6166.91,6752.09,5524.98,14428.46,7811.69,18594.12,4345.21,21475.55,1884.18,447.48
242.5,7443.16,6460.44,5793.9,14929.87,8334.72,16472.44,5216.27,19851.27,1463.7,349.19
245.0,7705.91,7121.02,5705.86,15241.03,8809.25,15172.13,6762.41,18802.48,1197.13,363.31
247.5,9439.43,7260.22,6007.68,16548.6,9823.7,14491.98,8060.33,17625.24,1564.97,498.69
250.0,10552.34,7280.56,6524.08,16742.28,11147.52,12836.65,10162.23,17565.23,1903.9,657.73
252.5,11537.38,7402.5,7063.14,18006.65,12274.38,12430.4,12922.85,16402.26,1614.62,319.25
255.0,12555.97,7132.75,7607.62,18906.1,13516.29,11464.01,15195.11,15221.11,2405.4,464.11
257.5,14284.04,6937.5,8337.58,19755.52,14896.88,12286.7,16832.29,14930.73,2150.48,620.63
260.0,15368.63,6924.11,9043.55,21183.96,15664.67,11656.63,19602.03,14717.97,2960.46,392.33
262.5,16791.63,6579.52,10285.32,23198.28,16671.97,12177.42,21544.43,14880.52,3837.56,605.38
265.0,17818.51,7033.5,10743.2,24212.25,17630.25,11835.14,23881.22,15865.03,3973.82,780.2
267.5,19209.12,6706.12,11375.17,25180.27,18468.11,12040.02,25561.8,16332.2,4603.25,890.2
270.0,19379.83,6305.75,12315.31,26852.42,18764.72,12015.46,27968.72,18191.25,5299.9,1613.37
272.5,19598.06,5144.92,12881.45,27746.5,19507.96,11706.13,30265.14,19009.46,5444.24,2290.51
275.0,20098.33,5319.36,14053.69,29669.53,19709.56,12485.99,33105.34,20243.72,6337.68,3264.01
277.5,19931.22,5674.9,14463.9,29030.46,19978.52,12669.99,34730.1,21212.22,6884.88,3992.68
280.0,19754.66,4649.99,15318.64,28792.31,19819.97,14564.91,36808.85,21916.08,7706.91,5150.43
282.5,18771.32,4533.56,15958.06,28918.77,19424.73,16355.8,37111.25,23233.66,7594.88,6121.71
285.0,17517.25,3510.93,16218.51,26968.51,19195.06,19395.65,35514.09,23557.85,8103.6,6610.27
287.5,16495.88,3997.87,16286.48,26313.69,18676.51,22298.84,32408.93,24664.13,8267.86,6399.9
290.0,14201.66,3063.74,16073.33,25315.67,17800.99,25466.38,27683.46,24212.61,8404.03,5484.4
292.5,12750.34,2817.41,15510.92,22762.64,17080.42,27385.98,22055.17,23795.43,8830.15,4888.1
295.0,11027.66,3128.4,14521.45,20209.48,15978.34,28809.28,16337.73,23014.86,8562.12,3740.48
297.5,9587.5,2546.29,13311.0,18547.1,15224.09,28189.8,11285.95,22552.92,8274.64,2885.63
300.0,7796.55,1671.13,12132.8,17065.09,14299.32,25892.51,8116.44,20005.02,7993.45,1892.6
302.5,7026.56,1336.28,10264.49,14714.88,13403.95,22686.68,5107.0,19646.77,7605.53,1122.52
305.0,5582.46,1219.14,8509.0,12459.21,12217.0,18670.91,2828.58,17142.84,7164.73,917.99
307.5,4207.36,1321.53,6982.97,10825.8,11235.53,14225.79,2064.59,14854.75,6508.25,829.59
310.0,3520.01,980.41,5839.68,9383.73,10095.37,10524.03,932.59,13253.85,6130.17,619.14
312.5,3270.77,772.63,4615.24,8411.18,9287.17,7066.17,1303.06,11117.6,5533.76,565.63
315.0,2954.63,1291.86,3704.75,7668.34,8349.22,5715.32,1126.19,10282.46,4880.49,503.41
317.5,2978.89,705.09,2953.68,6719.73,7420.84,3661.07,1008.0,8087.31,4472.49,519.38
320.0,3069.97,1440.99,2709.0,5863.39,6501.37,2378.06,1885.32,7145.51,3943.61,534.01
322.5,2279.1,679.9,2367.48,4798.18,5487.07,2081.88,1072.94,6292.79,3295.53,405.88
325.0,1917.0,1207.77,2461.13,4476.93,4925.47,848.4,2009.84,4582.42,2907.82,461.91
327.5,1725.03,728.66,2839.28,4902.66,4371.15,657.74,2917.2,3876.8,2906.95,723.43
330.0,2654.22,932.51,3134.85,4235.79,3925.37,1518.95,3021.0,2793.44,2544.33,471.72
332.5,2628.66,414.7,3253.58,4646.99,3725.6,1592.56,3275.87,2586.12,1679.5,456.42
335.0,3091.71,451.86,3752.47,4948.42,3875.17,2539.48,3697.39,3271.21,1457.49,466.29
337.5,3419.7,1032.87,4431.71,4669.88,4004.25,3501.75,4600.44,2275.06,1237.19,416.16
340.0,3967.02,1464.83,5240.89,4937.28,4257.6,4792.82,6079.89,1646.08,1468.4,382.31
342.5,4735.33,1560.08,5240.74,5490.68,5313.59,5440.74,7234.03,1345.23,1112.41,484.05
345.0,4867.64,1709.65,6130.52,5938.05,6362.15,7372.57,8537.62,1440.35,1173.33,371.98
347.5,5140.06,2456.65,6385.82,6358.3,7332.52,8756.09,9983.4,1427.23,1476.28,429.04
350.0,5194.38,3365.99,6954.95,6421.85,8718.54,10271.84,11271.2,1174.99,1152.72,327.9
352.5,5248.52,4270.62,7374.92,6422.17,9487.4,11160.26,12504.1,1510.86,1354.96,469.7
355.0,5755.86,5865.5,7654.27,6285.58,9824.7,12515.03,12636.02,957.71,1439.25,545.02
357.5,5948.36,7000.47,7825.66,6264.02,10117.23,12309.4,13258.65,983.83,1402.95,420.1
360.0,6452.33,7118.75,7996.46,6486.01,9592.13,12617.07,13501.92,1539.44,1900.81,137.73
362.5,5845.01,6473.7,7900.36,6786.84,8615.41,11038.47,13172.43,1057.09,1812.9,547.19
365.0,5881.28,6822.31,7655.34,6734.96,7471.82,10346.27,13246.51,1914.67,2499.79,473.64
367.5,5155.44,6146.33,7828.01,5896.77,6133.01,8678.91,11724.78,1849.55,2502.41,298.91
370.0,4602.63,5961.62,7593.99,6273.48,5198.4,7093.86,9909.93,1472.69,2912.84,577.6
372.5,4272.48,3783.09,7345.8,6879.08,4214.35,5953.57,9376.01,2618.19,3238.97,236.63
375.0,3923.28,3153.73,6704.43,6493.96,3667.98,4395.46,8124.84,2506.15,3742.04,622.5
377.5,4334.89,2995.17,6731.06,6021.93,3445.97,2636.61,6632.06,4129.39,4337.43,450.74
380.0,3050.51,1921.77,6562.45,7305.46,3278.99,1780.45,5094.6,4700.04,4513.21,105.44
382.5,3142.86,1481.0,6116.67,6634.08,3631.58,2725.78,5166.53,6620.64,5449.99,494.98
385.0,2268.72,1016.57,6152.28,6920.42,3963.29,2667.35,3310.91,7673.04,5949.95,409.77
387.5,2484.87,891.41,6064.78,7121.41,5053.51,3254.59,3265.27,8416.93,6718.08,396.58
390.0,2045.05,926.16,6354.83,7103.92,5591.08,3548.65,2583.5,9766.19,7164.77,384.23
392.5,1651.39,348.28,6398.8,7242.58,6653.79,4610.93,2346.85,12061.86,7435.36,504.66
395.0,1494.56,871.08,5904.37,8433.38,7578.08,12901.87,2475.3,13745.04,7896.15,484.4
397.5,1164.54,122.36,6626.19,8325.73,8478.89,9508.19,1878.51,16693.38,8284.46,321.1
400.0,1376.36,673.72,6169.67,8497.06,9012.98,11800.88,1355.64,17658.1,8859.46,888.68
402.5,1034.77,624.05,6513.92,8605.41,9865.35,14975.19,1883.87,19415.53,8631.32,755.25
405.0,763.27,366.15,6523.91,8224.37,10653.71,16791.87,1217.37,20023.92,8739.02,823.05
407.5,732.42,565.61,6179.21,9033.56,11013.8,16815.44,1485.68,20724.05,8662.77,955.11
410.0,1171.61,381.12,6311.34,8342.7,11063.27,16050.04,956.42,20996.69,8507.04,1510.22
412.5,1626.5,257.88,6057.31,8641.39,10924.19,13985.05,1056.39,21193.76,8651.39,1514.93
415.0,1281.31,538.6,5940.34,7892.13,10498.1,12506.59,1462.21,20247.21,8393.0,2157.29
417.5,1303.99,378.6,5620.34,7597.82,10365.31,9423.35,1600.0,18727.88,8297.83,2558.81
420.0,1564.62,995.13,5464.2,8185.01,9741.96,6832.49,888.97,18454.38,7945.67,3188.5
422.5,2050.2,763.44,4966.44,7651.72,9300.14,5016.78,1736.8,16282.18,7884.97,3828.46
425.0,1971.38,1764.65,4608.63,7148.2,8595.66,3162.09,1345.98,14694.23,7187.4,4744.75
427.5,2097.8,1727.16,4512.04,7934.36,8227.62,2394.21,2234.08,12297.91,6977.88,5785.14
430.0,2952.45,2740.19,4190.72,8532.45,8019.97,1356.25,1849.69,12192.02,6741.73,6847.27
432.5,3299.17,3790.08,4046.99,8536.93,8040.98,1998.74,1887.16,10744.94,7213.34,7773.83
435.0,4362.44,5757.5,3756.75,8433.95,8439.62,1868.44,2801.37,9690.69,7436.87,8998.84
437.5,4965.04,7004.68,3732.29,9169.36,9079.36,2965.98,3161.62,8653.39,8100.02,10257.9
440.0,5887.82,8610.43,3956.96,10333.6,10262.56,3832.87,4986.69,7937.52,8611.23,10906.51
442.5,7578.3,10806.98,4214.91,11511.29,12523.04,5854.43,5964.36,7538.46,9962.01,12116.54
445.0,10611.5,12083.52,4805.72,12324.22,14992.08,8246.47,7792.32,7517.83,11245.32,12771.52
447.5,13136.27,15032.42,5295.72,13854.17,17473.59,12135.8,10374.6,7358.48,12698.85,13373.31
450.0,15286.34,18057.9,5642.62,15357.24,20280.09,15024.66,12428.09,6880.15,14073.29,13979.94
452.5,17896.05,19731.29,6440.77,16725.11,23488.13,18085.17,15040.69,7215.61,15854.86,14013.57
455.0,20760.24,21631.49,6977.61,17500.69,26588.64,20132.74,18132.23,6746.83,17246.8,13820.39
457.5,21671.09,22971.52,7309.28,18071.84,29115.38,20653.7,19480.28,6517.5,17584.28,13889.65
460.0,22503.67,23176.02,7579.29,18588.86,30376.21,19141.88,20490.68,6724.29,18367.69,13269.88
462.5,22724.91,21042.69,8292.27,17984.95,31217.03,17578.34,21163.71,6105.39,17693.29,12068.57
465.0,21243.58,18763.11,8271.39,16658.89,30928.43,15345.42,20018.26,6707.94,17799.66,11230.21
467.5,19434.77,16155.36,8422.29,15548.13,29743.85,12464.65,17534.84,6110.01,16399.18,10531.04
470.0,17006.5,12291.17,8367.65,13089.33,27529.42,10459.4,15419.23,6458.8,15370.53,9299.96
472.5,14619.15,9560.21,8210.86,11897.66,24833.44,9197.17,12797.51,6354.19,13778.62,8464.9
475.0,12504.74,6165.07,7981.16,9807.18,22461.78,8413.98,11346.41,7442.08,12473.82,7227.22
477.5,9967.31,3465.51,8121.44,9198.34,19951.98,8028.39,8898.24,8645.0,11232.14,6130.93
480.0,8335.87,2191.78,7691.34,6576.4,17514.68,8676.31,6652.93,8662.56,9481.09,4955.39
482.5,6108.21,771.41,8070.02,5919.84,15773.79,9623.72,5620.69,9724.94,8679.14,4323.31
485.0,5571.29,1054.71,7213.64,5786.52,14316.12,9765.61,3868.14,15516.51,7798.35,3282.54
487.5,4458.67,783.65,6983.61,5553.71,13376.08,10804.43,3337.89,11366.4,7512.62,3036.91
490.0,3651.34,566.32,7063.49,6023.03,13117.44,11277.77,3061.46,11771.94,6808.85,2353.86
492.5,3185.98,994.37,7031.06,5243.61,12730.83,12684.41,2797.88,12568.51,6135.93,1713.92
495.0,2876.65,1007.22,6608.85,5858.19,12577.19,12884.31,2336.11,13386.99,5941.85,1616.68
497.5,2848.73,550.04,6479.14,6012.72,12580.21,12975.73,2288.68,13516.16,6012.0,1566.97
500.0,1855.53,50.0,5873.9,5856.84,12006.79,13381.45,2120.51,13656.64,5573.77,969.38
502.5,1972.29,804.58,5796.23,5204.07,11774.52,12863.02,1971.19,14075.03,4978.55,933.02
505.0,1585.87,785.14,5444.72,5751.32,11438.61,12582.86,1891.27,13660.12,4764.4,663.42
507.5,1438.47,705.87,4995.78,5367.14,10753.43,11914.27,1831.49,11982.08,4415.37,662.49
510.0,1672.93,926.83,4958.19,4753.99,10242.95,11327.85,2067.96,11415.5,3987.26,354.09
512.5,1412.12,226.49,4219.8,4163.44,9289.47,11237.67,2138.69,10524.0,3393.89,551.62
515.0,1549.91,1265.27,3975.6,3686.13,8288.61,9639.82,2072.45,9813.22,3191.62,531.96
517.5,1037.24,296.3,3704.3,3109.87,7524.61,9014.32,1588.67,8883.7,3182.92,790.79
520.0,822.21,856.22,3268.5,2898.48,6620.82,7592.68,1667.94,8366.06,2511.85,213.9
522.5,919.55,61.07,3080.24,2304.2,5845.44,7098.26,2187.84,6151.08,2231.41,445.24
525.0,1026.57,309.96,2706.29,1681.37,4937.33,5599.91,2591.87,5250.94,1977.21,687.99
527.5,985.89,1111.19,2462.62,1341.68,4196.28,5067.58,2134.85,15334.37,2084.4,444.76
530.0,600.58,531.63,2135.1,1223.0,3514.79,4297.78,1952.62,3698.49,1467.13,454.55
532.5,935.63,892.95,1921.91,1377.74,2875.0,4333.61,2206.66,3370.51,1471.74,349.75
535.0,969.39,697.31,1504.51,1179.39,2327.28,3229.67,1745.21,2854.52,1018.23,333.92
537.5,1637.62,587.03,1345.0,1176.55,2093.68,2371.42,2663.65,1715.88,958.38,193.38
540.0,1446.76,1068.71,1202.41,1215.18,1703.64,2384.86,2304.57,2519.84,917.06,381.93
542.5,643.18,547.04,1000.2,814.63,1772.34,2533.79,2054.41,2247.12,715.72,325.53
545.0,808.65,50.0,799.35,1476.61,1555.7,1121.98,2311.66,2686.31,781.69,500.17
547.5,462.86,365.03,717.15,906.13,1337.98,1192.65,2280.7,2143.77,965.7,358.0
550.0,719.29,809.5,572.12,855.41,1230.37,1256.92,3073.0,1630.78,681.8,406.93
552.5,985.79,760.43,714.97,1166.49,1128.77,1118.73,2694.97,1983.48,868.0,411.8
555.0,1247.7,120.91,604.27,437.93,956.42,1101.64,3041.37,1287.35,1069.99,476.19
557.5,679.68,398.82,503.08,819.54,1139.08,792.24,3471.55,1617.36,912.26,401.84
560.0,702.18,448.55,508.06,1459.33,1245.83,1673.18,3352.93,2315.14,1415.49,320.11
562.5,264.04,523.52,446.33,670.05,1357.58,875.05,4137.87,1992.38,1455.94,504.73
565.0,847.63,199.47,829.54,1735.36,1522.66,1406.83,4724.97,2442.1,1711.39,666.6
567.5,583.87,453.44,756.24,2057.06,1761.69,2034.15,4752.34,1371.38,1777.07,532.13
570.0,741.09,435.68,702.9,1713.33,1749.09,2055.82,6238.96,2035.39,2579.53,439.63
572.5,639.85,949.67,1085.66,2289.94,2033.13,2277.15,7132.98,1972.59,3370.82,557.3
575.0,871.03,998.74,1032.59,3035.92,2696.53,2888.21,8381.7,2549.7,4451.73,323.17
577.5,384.66,743.05,1102.77,3134.64,3025.86,4226.98,9730.58,2514.35,5290.95,737.62
580.0,474.84,747.49,1730.82,4341.14,3370.53,5370.45,11400.98,2631.45,6683.9,877.94
582.5,1541.4,1046.02,1800.72,4789.03,4019.07,7348.63,13589.66,3199.49,7839.95,1076.0
585.0,558.32,911.32,2207.11,5988.22,4723.56,8930.87,14687.16,2884.12,9905.98,1531.26
587.5,655.43,1050.2,2758.35,7212.8,5545.86,12126.57,17186.33,4190.92,12337.77,2213.43
590.0,1595.26,1449.61,3531.32,9102.23,6512.05,14812.37,19915.47,4358.36,14475.28,3333.25
592.5,2049.46,1981.28,4108.33,11059.83,7813.83,18077.48,22347.54,5942.87,17617.63,4595.73
595.0,1091.31,2351.4,4842.56,12463.88,8569.04,21941.82,24927.57,8912.96,20649.28,5948.15
597.5,1713.68,3443.14,6213.33,14058.86,9836.02,24910.22,28376.63,11140.48,23833.26,8165.39
600.0,2510.58,4397.27,7302.39,16121.47,10791.04,28273.23,30197.06,15805.17,27091.42,10824.12
602.5,3762.19,4501.29,8995.26,18584.11,12364.36,31476.43,32876.56,20195.17,30324.17,14141.84
605.0,4102.36,5952.26,9988.49,20930.02,14098.67,34227.94,34679.3,25486.24,34015.3,17479.56
607.5,5756.91,6816.17,10751.78,22122.61,15514.53,36215.39,36509.1,29832.77,36721.53,21021.16
610.0,7747.35,7912.16,11957.98,23212.74,16341.77,37122.23,38518.19,33844.02,39147.08,24445.42
612.5,9484.51,8621.13,12616.55,24506.08,18507.64,36997.45,40278.92,36533.9,40930.67,27078.03
615.0,16814.11,8833.1,12561.82,24586.2,19888.7,36807.78,41136.03,36693.69,42264.98,29317.73
617.5,12749.77,9390.54,12245.69,24386.12,20153.75,35618.42,41643.09,35204.3,42809.37,29895.69
620.0,13578.02,10087.59,11190.75,23476.49,21021.65,33362.08,41451.02,32330.39,42612.21,29291.83
622.5,14525.06,10454.5,10738.86,23006.36,20180.53,30960.36,40945.53,27531.8,41687.04,27699.83
625.0,14461.98,9205.05,9697.85,20057.75,19923.32,28098.61,40105.99,22204.33,39744.47,25218.94
627.5,13893.86,9646.35,9090.97,19178.53,18450.22,24447.57,39095.62,17256.39,37354.61,21546.21
630.0,12390.44,9358.72,8172.02,16644.24,16355.54,21353.81,37424.01,13447.43,34887.17,18023.3
632.5,11035.21,8236.87,7656.39,24697.9,14754.92,18002.13,34730.39,9147.2,31481.28,14067.18
635.0,9356.99,7717.77,7105.47,13128.2,12763.45,15371.57,33099.91,6546.53,28457.42,10655.06
637.5,7283.22,6546.14,6863.98,10443.31,10625.57,12793.4,30160.42,4326.43,25086.91,7992.17
640.0,5688.62,6010.83,6422.45,8762.34,8827.13,10228.45,28055.57,3841.97,21986.41,5444.51
642.5,4214.35,4871.09,5981.73,7476.63,7117.89,8214.02,25312.13,3450.52,19130.91,3975.64
645.0,3115.2,4095.56,5450.7,6412.36,5643.57,6324.24,23524.27,3158.62,15545.02,2665.95
647.5,2112.88,4764.28,5431.87,5098.31,5059.5,5077.04,20544.55,2704.15,13686.84,1639.03
650.0,1881.92,3875.91,5301.54,3876.06,4547.69,3959.72,18720.87,2942.54,10940.11,1229.93
652.5,1428.9,3945.11,5623.7,3409.47,4063.07,3474.72,17121.07,2835.55,9053.47,827.29
655.0,1898.67,3691.03,5892.04,3546.82,3470.77,2482.08,15167.94,2989.06,7051.89,777.19
657.5,1695.07,3881.9,6253.89,2713.84,3653.16,2264.58,14413.29,2973.39,6071.73,912.32
660.0,1399.24,4622.41,6521.26,2506.37,4111.16,1388.51,13705.29,3244.96,4745.18,499.39
662.5,1215.78,4900.57,6932.91,2054.02,4608.55,2651.41,13402.15,2664.89,3790.22,612.23
665.0,1379.33,5828.12,7973.61,1819.45,5697.52,2242.78,13645.93,2328.17,2708.46,517.67
667.5,2455.82,6502.9,9523.24,2603.74,6827.5,2892.7,14848.26,3203.25,2474.67,511.34
670.0,2743.42,7171.9,10450.72,2170.55,7840.9,3917.67,15281.72,3412.97,2150.43,480.09
672.5,3555.3,7893.28,11747.79,2431.16,9598.88,4563.47,17130.4,3920.2,1601.91,373.72
675.0,3858.06,9088.55,13591.96,3461.62,11096.8,6219.65,18805.77,4075.6,1580.15,569.56
677.5,5815.6,8962.55,15103.03,3590.47,12457.35,6925.72,20243.19,4647.97,1366.86,489.24
680.0,7054.93,9985.78,16546.93,4527.54,13950.36,9758.38,23222.02,4538.71,897.59,427.71
682.5,8147.29,10992.78,18165.32,5758.57,14938.22,11051.74,24985.92,4847.98,1180.64,795.27
685.0,10007.5,11556.64,19848.89,6872.89,16139.55,12309.51,28294.52,4766.28,821.77,764.61
687.5,11945.57,11080.09,21509.14,8093.15,16794.57,13867.94,30504.77,5988.73,762.09,896.61
690.0,13574.01,11708.63,23224.57,9783.08,17014.23,13729.47,33291.57,6307.86,727.65,1420.43
692.5,15049.13,12373.71,24392.51,10223.23,16814.18,14077.07,35332.63,7277.35,691.99,1309.38
695.0,16490.98,12062.88,25589.39,10252.68,16153.81,14081.74,38186.02,7923.52,191.47,2304.33
697.5,17580.27,11777.0,26560.97,11951.84,15077.96,11975.12,40562.11,8784.32,611.45,2570.42
700.0,18529.04,11315.17,26813.61,12599.9,13871.04,11266.44,41668.61,9248.13,392.72,3401.79
702.5,19406.73,10803.91,27408.72,13266.07,12493.32,9573.8,43015.09,10257.85,917.9,3919.53
705.0,18344.58,10454.39,27202.64,13887.59,10751.89,8301.61,44113.2,9425.32,907.19,4408.9
707.5,18770.5,9617.64,26467.21,14177.0,9224.95,5584.6,44189.1,10949.98,774.9,5119.02
710.0,18245.96,8959.11,25795.58,14277.82,7636.04,5191.5,42493.86,11632.27,580.48,5319.31
712.5,17260.4,8229.06,24915.69,14242.21,6185.63,3391.42,42719.28,12040.52,443.84,4844.53
715.0,15705.5,7193.56,23817.91,13198.7,5144.86,2576.52,40092.66,11618.72,506.7,4546.98
717.5,13666.43,6804.93,22174.72,11988.28,3964.81,8824.7,37428.21,11828.69,969.55,3943.78
720.0,12463.65,6822.99,20421.59,11863.57,3270.7,1364.96,33889.13,10967.7,502.79,3557.73
722.5,10984.81,4568.68,18805.88,9021.65,2564.5,1574.99,29686.01,10483.6,208.79,2297.72
725.0,8174.49,4587.33,16352.3,7604.38,2018.88,951.21,26844.64,10151.05,811.79,2096.64
727.5,7165.51,3626.03,14586.36,5491.7,1649.71,1449.71,22658.34,9338.3,897.07,1432.93
730.0,5317.43,3522.81,12728.84,4621.21,1362.96,975.96,19500.37,8377.91,927.11,803.83
732.5,4158.82,2876.9,10754.19,3145.68,1016.98,797.18,15983.39,7782.79,818.77,855.26
735.0,2903.9,2705.37,9192.03,2444.5,1194.22,1023.45,13317.47,6862.48,849.79,1030.81
737.5,2410.92,2498.9,7416.91,2316.83,1095.55,1320.66,10585.38,6803.53,647.9,531.62
740.0,2414.93,1894.52,6535.11,1723.25,1139.74,1170.07,9287.93,5975.88,271.92,699.53
742.5,1916.19,1971.34,5041.07,1499.76,912.71,1324.06,7119.56,5257.31,647.99,731.98
745.0,2114.78,650.62,4468.89,589.12,1258.46,3945.22,7352.29,4664.2,755.86,525.67
747.5,1927.86,1792.06,3322.4,1679.44,929.09,1823.77,6715.72,4618.3,623.94,539.57
750.0,1777.22,1282.88,2813.13,651.77,872.71,1513.22,6182.45,4341.52,618.46,247.67
752.5,2300.69,1427.83,2106.61,1515.99,886.11,1440.9,6007.66,3309.37,482.05,404.27
755.0,2122.54,613.67,1687.7,1343.08,827.6,1986.33,5697.4,2994.66,478.2,659.8
757.5,2504.14,695.02,1277.1,1197.69,1381.1,2349.67,6520.85,3632.74,985.58,526.98
760.0,2503.94,981.8,1141.5,736.3,1468.06,2037.13,6603.34,7517.14,995.06,575.78
762.5,3006.48,906.2,992.05,1073.78,1512.78,2562.26,6761.79,3201.68,664.82,539.52
765.0,3247.02,989.77,691.93,890.04,1512.29,3023.9,8679.41,3512.87,718.59,864.21
767.5,4279.65,1243.33,706.15,1084.39,2204.38,3656.19,9477.58,3447.69,497.77,452.07
770.0,4253.35,308.59,577.12,1045.51,2278.96,4021.99,10097.6,3069.37,789.66,773.2
772.5,5512.96,1206.54,1006.51,545.07,2794.93,5084.46,10796.3,3024.58,991.75,542.22
